FeatureID,FeatureName,WTY_ClusterD Average,WTY_ClusterD Log2 Fold Change,WTY_ClusterD P-Value,WTY_ClusterCp Average,WTY_ClusterCp Log2 Fold Change,WTY_ClusterCp P-Value,WTY_ClusterC Average,WTY_ClusterC Log2 Fold Change,WTY_ClusterC P-Value,WTY_ClusterB Average,WTY_ClusterB Log2 Fold Change,WTY_ClusterB P-Value,WTY_ClusterA Average,WTY_ClusterA Log2 Fold Change,WTY_ClusterA P-Value
ENSMUSG00000040204,Pclaf,0.088717034,-5.628721396,1.45E-76,5.491132655,1.369095786,6.67E-08,0.101812535,-4.951005083,8.81E-18,6.14047075,1.79162092,1.85E-14,0.785969601,-1.953947814,0.001207613
ENSMUSG00000020649,Rrm2,0.0575518,-5.443892387,1.04E-71,2.926827656,1.194997203,4.92E-06,0.085736871,-4.38936643,7.55E-15,3.748683431,2.002314987,6.15E-18,0.233640217,-2.909121884,1.55E-06
ENSMUSG00000019942,Cdk1,0.017244763,-5.600587146,1.90E-70,0.497070539,-0.196785525,0.788204398,0.015310156,-5.248723467,1.26E-17,1.68732894,3.306081655,9.00E-49,0.119264044,-2.293533905,0.000150049
ENSMUSG00000025163,Cd7,0.006440815,-6.739200042,1.90E-70,0.026646402,-4.442735662,2.13E-27,0.007655078,-5.92060621,2.21E-16,0.018308943,-5.038971747,2.59E-37,5.965157343,8.657493545,2.77E-191
ENSMUSG00000022033,Pbk,0.012258326,-5.625131194,6.11E-69,0.454962644,0.234020992,0.637061901,0.009186093,-5.480042457,6.72E-18,1.141257449,2.904552747,1.66E-37,0.094824691,-2.15786735,0.000390131
ENSMUSG00000027715,Ccna2,0.051734289,-5.163920397,4.42E-67,1.16849408,-0.083174579,1,0.057413084,-4.533003349,1.77E-15,3.636795445,3.161190512,1.66E-45,0.256124422,-2.340347784,9.37E-05
ENSMUSG00000027306,Nusap1,0.025347724,-5.289209701,9.37E-67,0.416144429,-0.797674224,0.015856007,0.03444785,-4.35673052,2.91E-14,2.1287779,3.759840171,2.44E-62,0.16325488,-2.08271883,0.000601392
ENSMUSG00000020914,Top2a,0.082068451,-5.071998539,1.53E-66,1.982689702,0.162407386,0.823991459,0.071957731,-4.785206136,7.27E-17,5.184918295,2.928403977,2.14E-39,0.407648412,-2.243399447,0.000175403
ENSMUSG00000074476,Spc24,0.01994575,-5.291659163,1.57E-66,0.658593792,0.465843275,0.161448165,0.02755828,-4.330516865,3.79E-14,1.35544302,2.532169413,7.22E-29,0.245371107,-1.13247745,0.104731845
ENSMUSG00000012443,Kif11,0.01412824,-5.448042083,1.68E-66,0.317783018,-0.455350089,0.240988148,0.018372187,-4.56018285,1.32E-14,1.286857139,3.506474859,5.24E-54,0.091891968,-2.230596771,0.000249388
ENSMUSG00000027863,Cd2,1.177007023,3.836344495,3.55E-66,0.05559558,-3.39437898,3.16E-23,0.012248124,-5.314695301,6.82E-18,0.149377726,-1.947549186,4.66E-11,0.025416927,-4.259707815,6.59E-11
ENSMUSG00000025014,Dntt,0.067732443,-5.142007791,2.19E-65,1.756359768,0.205452667,0.705701059,9.53593042,3.704806493,3.28E-42,0.827389854,-1.143325666,0.000172679,0.47803375,-1.798051821,0.004126182
ENSMUSG00000072620,Slfn2,1.104495911,3.811740556,1.31E-64,0.027962274,-4.306698407,1.10E-31,0.080378317,-2.563505067,8.80E-07,0.061320428,-3.208532788,2.86E-24,0.284474072,-0.670120864,0.521714292
ENSMUSG00000051504,Siglech,0.014336008,-5.893858209,2.02E-63,0.033554729,-4.403040174,1.44E-27,0.012248124,-5.58168462,8.22E-16,0.024121306,-4.935339019,3.91E-37,7.24968975,8.395820494,2.10E-186
ENSMUSG00000060063,Alox5ap,0.012258326,-5.497760078,6.83E-63,0.153299054,-1.486563835,7.18E-06,0.672115831,0.999310735,0.012092225,0.052020648,-3.184647893,3.06E-22,3.36089986,4.740677342,9.83E-65
ENSMUSG00000058715,Fcer1g,0.010388412,-5.795369314,1.43E-62,0.075662623,-2.637724269,1.26E-13,0.026027265,-3.978961406,9.56E-11,0.036908504,-3.753373969,2.74E-26,4.684535232,7.060160147,2.27E-142
ENSMUSG00000023004,Tuba1b,0.124868706,-4.772280064,1.85E-62,3.574236538,0.930365457,0.000597646,0.200563038,-3.619136754,1.06E-11,5.283728464,2.102010864,2.71E-20,0.783036878,-1.599532382,0.009462496
ENSMUSG00000030867,Plk1,0.013504935,-5.217013881,1.19E-61,0.210539474,-0.812328372,0.016961869,0.00688957,-5.59335414,1.31E-17,1.094758546,3.81693574,3.61E-63,0.074295634,-2.241790911,0.000269028
ENSMUSG00000001403,Ube2c,0.08809373,-5.001699962,2.21E-61,0.736230223,-1.568010769,1.14E-06,0.081143825,-4.645848658,4.00E-15,6.35029705,4.20970019,2.48E-73,0.708741244,-1.462367922,0.029831456
ENSMUSG00000005470,Asf1b,0.03054193,-4.831754718,3.79E-60,0.912886,0.92586887,0.000776849,0.028323788,-4.449711657,9.74E-15,1.386539162,2.19187358,1.43E-21,0.127084637,-2.26166684,0.000163234
ENSMUSG00000019773,Fbxo5,0.022854505,-4.855129227,4.40E-59,0.627012871,0.700714741,0.017728288,0.019137695,-4.60581522,5.49E-15,1.124110978,2.431422448,2.20E-26,0.07820593,-2.567742931,2.23E-05
ENSMUSG00000022148,Fyb,0.001246609,-7.048510186,5.22E-59,0.016119428,-3.247622056,9.53E-17,0.035978866,-1.871601516,0.001849827,0.008718544,-4.188276447,1.55E-26,1.53381381,7.18261589,7.16E-133
ENSMUSG00000001025,S100a6,0.006025279,-5.850410678,4.23E-56,0.041778927,-2.784630176,1.30E-13,0.120950229,-1.020446519,0.164656235,0.015983998,-4.245226168,4.17E-28,2.763602066,6.555534426,5.15E-114
ENSMUSG00000022584,Ly6c2,0.007895193,-6.148319203,8.93E-56,0.013487685,-5.113211483,5.52E-28,0.005358554,-6.078531759,2.41E-14,0.018890179,-4.688782073,2.67E-29,4.838014371,8.646634778,8.06E-165
ENSMUSG00000017716,Birc5,0.07625094,-4.471951028,1.58E-55,0.985258945,-0.240382857,0.670586446,0.057413084,-4.411501616,6.00E-15,3.325543414,3.128699565,9.86E-45,0.423289598,-1.478283144,0.019874009
ENSMUSG00000116957,AC140186.1,0.009557339,-5.515503722,8.15E-55,0.042107895,-3.101146451,2.80E-16,0.038275389,-3.032203822,5.85E-07,0.01569338,-4.592965794,6.73E-32,3.61897943,7.351707004,5.12E-143
ENSMUSG00000056394,Lig1,0.028672016,-4.565749107,8.88E-55,1.046446979,1.893046342,1.00E-14,0.043633943,-3.481979394,1.71E-10,0.763453862,1.136733376,1.05E-05,0.155434287,-1.608430685,0.01015933
ENSMUSG00000009687,Fxyd5,0.020569055,-4.658077838,2.26E-54,0.41910514,0.364967309,0.33269794,0.840527543,1.515456325,1.32E-05,0.119734675,-1.817918188,1.46E-09,1.794826103,2.970629943,1.19E-21
ENSMUSG00000027203,Dut,0.102014201,-4.325780645,7.45E-54,3.357446674,2.090313511,1.23E-18,0.291658464,-2.335631678,4.29E-06,2.046823583,0.856966814,0.001523755,0.417424154,-1.782638096,0.003255202
ENSMUSG00000053063,Clec12a,0.003324292,-5.719961912,8.12E-52,0.036844408,-1.972885311,2.95E-08,0.080378317,-0.635011032,0.530193687,0.011334108,-3.772289494,7.38E-24,1.351985022,5.963220568,1.36E-97
ENSMUSG00000040276,Pacsin1,0.001869914,-6.264423172,2.40E-51,0.007237294,-4.122060126,2.26E-21,0.003827539,-4.641488287,1.87E-10,0.003778036,-5.082057996,1.22E-30,1.335366262,8.394290819,8.47E-156
ENSMUSG00000026458,Ppfia4,0.003324292,-5.781105857,1.01E-50,0.016777364,-3.210973952,3.05E-16,0.012248124,-3.417109718,9.95E-08,0.006684217,-4.584860744,6.76E-29,1.583670091,7.54255087,1.40E-140
ENSMUSG00000046805,Mpeg1,0.009557339,-5.109603017,1.36E-50,0.022369819,-3.617603588,1.43E-20,0.026027265,-3.17673004,1.30E-07,0.017727707,-4.00985973,3.33E-27,2.74307301,7.361917312,2.67E-146
ENSMUSG00000039153,Runx2,0.005401974,-5.441835429,2.11E-50,0.018751172,-3.390431795,5.77E-18,0.022199726,-2.923819852,1.73E-06,0.01569338,-3.703602461,3.22E-23,1.96199128,7.209188743,7.55E-135
ENSMUSG00000023505,Cdca3,0.059629482,-4.186688054,3.37E-50,0.647079914,-0.209195276,0.744691173,0.070426716,-3.482472185,9.27E-11,2.132265317,3.090341906,1.22E-43,0.197469974,-1.954701965,0.001194928
ENSMUSG00000059280,Vpreb2,0.015167081,-4.737472827,3.82E-50,0.286860033,0.110823994,0.931096874,1.844873751,4.154054807,3.66E-51,0.095032133,-1.791377701,1.58E-08,0.002932722,-6.225316201,1.02E-13
ENSMUSG00000049932,H2afx,0.373359509,-4.012680555,2.17E-48,2.454758679,-0.869278943,0.007205581,0.438635958,-3.328821631,3.44E-10,12.72645911,3.541878065,1.09E-56,1.262048202,-1.753851382,0.002138601
ENSMUSG00000028312,Smc2,0.048202229,-4.105322856,2.72E-48,0.667804894,0.351176293,0.35330307,0.060475115,-3.313348156,5.72E-10,1.479536968,2.602197059,1.22E-30,0.135882804,-2.109096394,0.000458906
ENSMUSG00000028873,Cdca8,0.062746005,-4.037689246,2.37E-47,0.542468113,-0.434383766,0.263718332,0.038275389,-4.283815988,3.96E-14,2.09739114,3.283579706,7.39E-49,0.186716659,-1.96408257,0.001178566
ENSMUSG00000070348,Ccnd1,0.005401974,-5.239563363,1.30E-46,0.017764268,-3.263953287,1.72E-16,0.006124062,-4.474372322,1.73E-10,0.005231127,-5.059860992,4.77E-32,1.745947397,7.683206414,1.33E-143
ENSMUSG00000048442,Smim5,0.004363133,-5.404914966,1.54E-46,0.00789523,-4.290613766,1.76E-22,0.009951601,-3.699744987,2.91E-08,0.011043489,-3.871665019,4.81E-23,1.593445832,7.692977706,3.52E-140
ENSMUSG00000031004,Mki67,0.09391124,-4.035578168,1.80E-46,1.105990174,0.131356524,0.914786,0.070426716,-3.993490957,1.17E-12,2.869563547,2.806890926,5.76E-35,0.261989867,-2.057581115,0.000826974
ENSMUSG00000030677,Kif22,0.040099268,-4.055264438,2.10E-46,0.288175905,-0.774008295,0.022775847,0.019903202,-4.576541814,8.17E-15,1.421122721,3.584785933,8.79E-57,0.107533154,-2.131611216,0.000456006
ENSMUSG00000055541,Lair1,0.00353206,-5.459856837,3.70E-46,0.017106332,-2.939273119,6.52E-14,0.006124062,-4.104787682,3.15E-09,0.002034327,-5.946866279,5.54E-35,1.351007448,7.645543986,1.31E-138
ENSMUSG00000041431,Ccnb1,0.033658453,-4.084708291,1.57E-44,0.231922389,-0.878870705,0.010247697,0.049758006,-3.052430127,2.92E-08,1.215074457,3.568340279,1.53E-53,0.107533154,-1.904471098,0.002704836
ENSMUSG00000038943,Prc1,0.032204076,-3.983052707,4.48E-44,0.190801398,-1.016098011,0.002018843,0.033682342,-3.447644969,4.83E-10,1.106092653,3.704437727,4.06E-60,0.082116227,-2.132280222,0.000530993
ENSMUSG00000030122,Ptms,0.00581751,-4.872662523,1.70E-43,0.033225761,-2.061511626,1.26E-08,0.036744373,-1.733261611,0.004239062,0.031096141,-2.207703129,8.74E-11,1.268891221,5.809717088,1.37E-90
ENSMUSG00000029530,Ccr9,0.005194206,-5.280034445,2.30E-43,0.007237294,-4.531913663,1.13E-22,0.013013632,-3.452781614,3.99E-07,0.006102981,-4.831329172,4.13E-28,1.747902545,8.000022399,1.41E-139
ENSMUSG00000032503,Arpp21,0.01059618,-4.45471982,2.47E-43,0.127639556,-0.370120098,0.466052796,1.074772924,4.172769647,3.80E-51,0.0688765,-1.432838678,9.75E-06,0.055721725,-1.543730773,0.02813319
ENSMUSG00000026605,Cenpf,0.045709011,-3.990645116,2.52E-43,0.232909293,-1.267698309,0.000121731,0.029854803,-4.13267322,1.83E-12,1.608571423,3.876686608,1.88E-62,0.143703397,-1.836086861,0.004142514
ENSMUSG00000058728,Cd300c,0.004363133,-5.07471804,2.63E-43,0.004276583,-4.80793755,4.08E-25,0.003827539,-4.602101925,2.04E-10,0.001162473,-6.537351819,3.04E-37,1.30408389,8.544541889,1.78E-159
ENSMUSG00000037313,Tacc3,0.045085706,-3.806585169,7.72E-43,0.344429421,-0.381806921,0.359652916,0.039806405,-3.524872407,1.04E-10,1.25692347,3.117205086,7.03E-44,0.154456713,-1.527758514,0.015330888
ENSMUSG00000027469,Tpx2,0.051734289,-3.800143673,2.23E-42,0.315809211,-0.75956543,0.02339773,0.038275389,-3.773859443,1.21E-11,1.51353929,3.445090759,1.05E-52,0.15152399,-1.752352263,0.004748825
ENSMUSG00000028832,Stmn1,0.532509974,-3.603146924,3.76E-42,6.981686337,0.945185781,0.000427875,0.499876581,-3.257712174,3.67E-10,9.667993774,1.902642785,1.03E-16,1.841749661,-1.314760422,0.025434553
ENSMUSG00000059305,Vpreb1,0.365464317,-3.629818018,3.75E-41,3.236057508,0.106893697,0.970579687,19.11166724,3.818906407,3.69E-46,1.459193698,-1.301175085,1.21E-05,0.049856281,-6.021951719,1.36E-17
ENSMUSG00000018362,Kpna2,0.051942058,-3.78347894,6.18E-41,0.314493339,-0.754586537,0.027416843,0.040571912,-3.680380926,6.44E-11,1.492614784,3.399743637,9.22E-50,0.175963343,-1.521758855,0.01984593
ENSMUSG00000075370,Igll1,0.496981606,-3.602071765,6.31E-41,5.171375829,0.457252629,0.168383585,22.61233432,3.418102673,1.18E-35,2.283096134,-1.037687435,0.000627059,0.067452615,-6.009775594,8.53E-18
ENSMUSG00000094777,Hist1h2ap,0.055681886,-3.689704595,9.80E-41,0.516150679,0.113302684,0.954398973,0.044399451,-3.561445184,8.68E-11,1.343527677,2.77547119,1.51E-34,0.099712561,-2.362584951,9.59E-05
ENSMUSG00000001281,Itgb7,0.005609742,-4.684724386,1.67E-40,0.012500781,-3.267248443,1.97E-16,0.001531016,-5.570229604,2.13E-12,0.007556072,-4.045454972,1.24E-24,1.222945237,7.356779477,1.52E-134
ENSMUSG00000034353,Ramp1,0.056928495,-3.650593945,3.61E-40,0.746757197,0.870020337,0.001930522,0.547338063,0.198266822,0.907738562,0.329851593,-0.700051741,0.035137366,2.150663087,2.623645461,3.40E-16
ENSMUSG00000029084,Cd38,1.494269111,2.830344055,7.06E-40,0.113164967,-2.856788534,2.16E-18,0.140853432,-2.345495196,3.95E-06,0.346998063,-1.150611866,8.44E-05,0.125129489,-2.489442346,2.70E-05
ENSMUSG00000023015,Racgap1,0.063577078,-3.575579845,2.67E-39,0.318440954,-0.839870467,0.010208195,0.035213358,-3.974023956,1.24E-12,1.56526932,3.299265455,3.97E-49,0.291317091,-0.866100731,0.288319372
ENSMUSG00000028044,Cks1b,0.114688063,-3.485560287,6.00E-39,1.040196588,0.335200523,0.380307221,0.097219488,-3.28579429,4.54E-10,2.203176144,2.380446582,4.80E-26,0.455549545,-0.991025751,0.181762159
ENSMUSG00000024660,Incenp,0.068147979,-3.531908517,7.46E-39,0.453646773,-0.300073213,0.517253058,0.078847301,-2.875284852,3.93E-08,1.538241833,2.96924457,3.62E-40,0.184761511,-1.603210777,0.009921242
ENSMUSG00000014195,Dnajc7,16.36195589,2.718309293,8.01E-38,1.378704586,-2.724857337,2.77E-18,1.623642002,-2.301044295,1.26E-06,3.292703564,-1.413870142,6.60E-07,4.163488221,-0.878668532,0.189325208
ENSMUSG00000005410,Mcm5,0.072511112,-3.438907924,1.66E-37,1.364229998,2.196914901,2.75E-20,0.067364685,-3.10359838,4.02E-09,0.706783325,0.565479467,0.072215479,0.272743182,-1.026006149,0.159157714
ENSMUSG00000075702,Selenom,0.010803948,-4.351308914,2.03E-37,0.043094799,-2.048755933,4.05E-08,1.29677018,5.562241607,1.43E-82,0.030805523,-2.605038626,3.03E-13,0.046923558,-1.718136985,0.02370588
ENSMUSG00000062248,Cks2,0.164552438,-3.401214062,2.35E-37,0.93361098,-0.42727646,0.270990033,0.128605307,-3.32506131,3.41E-10,3.482767829,3.097716825,3.72E-44,0.335307927,-1.898469599,0.001675083
ENSMUSG00000020474,Polm,1.1738905,2.727167082,2.76E-37,0.105269737,-2.624884735,4.34E-16,0.040571912,-3.814603377,3.25E-12,0.333048392,-0.837993732,0.006336749,0.041058113,-3.760143168,1.90E-09
ENSMUSG00000018774,Cd68,0.006440815,-4.445357267,5.08E-37,0.008882134,-3.715180409,1.26E-18,0.00688957,-3.784095088,2.48E-08,0.006684217,-4.176580611,1.29E-24,1.188730142,7.362668294,6.26E-130
ENSMUSG00000038252,Ncapd2,0.07396549,-3.390473825,6.18E-37,0.605958923,0.25760178,0.559579235,0.079612809,-2.844118864,4.32E-08,1.378401854,2.509402738,7.72E-29,0.158367009,-1.812511124,0.002750826
ENSMUSG00000020897,Aurkb,0.069810125,-3.388211598,1.08E-36,0.501347122,0.010399045,1,0.087267887,-2.624090852,3.75E-07,1.359511674,2.709746976,1.55E-33,0.137837952,-1.928692718,0.001359199
ENSMUSG00000032397,Tipin,0.099936519,-3.295539774,8.45E-36,1.438905717,1.674988998,6.97E-12,0.166880696,-2.112797909,2.98E-05,1.091852364,1.045637212,4.77E-05,0.305003129,-1.196992771,0.073736245
ENSMUSG00000006398,Cdc20,0.08102961,-3.40166276,4.27E-35,0.333902447,-0.972226675,0.003135426,0.057413084,-3.459634703,4.36E-10,1.838159756,3.523079231,1.64E-53,0.143703397,-2.0995649,0.000740698
ENSMUSG00000037628,Cdkn3,0.047371156,-3.37653517,1.54E-34,0.188498623,-1.004367103,0.002428395,0.029854803,-3.591132411,1.72E-10,1.054362624,3.493910313,9.35E-53,0.109488303,-1.684207886,0.00796482
ENSMUSG00000026355,Mcm6,0.121752183,-3.206416001,5.52E-34,1.968544081,2.204740454,1.32E-20,0.342181978,-1.252362527,0.022874469,0.893069554,0.291641329,0.534711308,0.402760542,-0.989434077,0.18549584
ENSMUSG00000033427,Upb1,0.012466094,-3.899380001,8.67E-34,0.011513877,-3.754343179,4.35E-20,0.000765508,-6.516329162,1.71E-14,0.003778036,-5.370068139,3.27E-34,1.579759795,7.499093731,3.14E-141
ENSMUSG00000103168,Gm30948,0.019737982,-3.583271874,1.39E-33,0.115467743,-0.594485173,0.126865407,1.24165362,4.723079231,1.07E-68,0.036908504,-2.453313804,5.08E-14,0.004887871,-4.894350357,2.70E-10
ENSMUSG00000018168,Ikzf3,1.210042172,2.583246886,1.50E-33,0.232580325,-1.484545745,2.10E-06,0.033682342,-4.156075093,1.16E-13,0.290327525,-1.158453745,7.65E-05,0.027372076,-4.407699697,1.34E-11
ENSMUSG00000098318,Lockd,0.072718881,-3.196914271,2.43E-33,0.52240107,0.249350701,0.585931929,0.138556908,-1.821255953,0.000419592,1.163344428,2.404118313,3.66E-26,0.115353747,-2.063855723,0.000609866
ENSMUSG00000055612,Cdca7,0.060668323,-3.203483125,3.64E-33,1.151387748,2.814720896,3.01E-33,0.156163587,-1.38023735,0.010598586,0.325782939,-0.308530321,0.560078662,0.111443451,-1.8545249,0.002354735
ENSMUSG00000034349,Smc4,0.181589433,-3.115837182,4.63E-33,1.128688961,0.076875787,1,0.415670725,-1.471510658,0.005071673,2.785865522,2.455522503,4.80E-28,0.31477887,-1.860543651,0.001890905
ENSMUSG00000027639,Samhd1,1.225832557,2.547830939,7.53E-33,0.09836141,-2.834425903,3.75E-18,0.11712269,-2.387806258,2.73E-06,0.171755323,-2.030597931,4.77E-12,0.784992027,0.51084994,0.379590873
ENSMUSG00000046718,Bst2,0.223143079,-3.313294936,8.96E-33,0.34607426,-2.41741066,5.32E-13,0.408781155,-1.995317756,0.000290005,0.168558523,-3.54417779,3.06E-26,17.0009917,6.045262401,2.29E-111
ENSMUSG00000049086,Bmyc,0.022646737,-3.421395401,4.28E-32,0.111520128,-0.703357156,0.054297616,0.177597805,0.110133666,1,0.030805523,-2.770462236,3.47E-17,1.445832139,4.532511116,2.60E-58
ENSMUSG00000036752,Tubb4b,0.349881699,-3.027108807,9.96E-32,1.791230368,-0.173532721,0.845119774,0.342947486,-2.640315052,2.41E-07,5.41741281,2.752741265,3.23E-35,0.591432349,-1.813801577,0.002687446
ENSMUSG00000038175,Mylip,2.061060842,2.466208413,3.97E-31,0.194749013,-2.611457159,2.65E-16,0.530496892,-0.93629676,0.123652704,0.545780873,-1.026969824,0.000499523,0.119264044,-3.111652057,1.80E-07
ENSMUSG00000001228,Uhrf1,0.153540722,-2.981212055,1.07E-30,1.688921343,1.504405212,1.30E-09,0.328402838,-1.44162719,0.006282137,1.451637626,1.198823202,1.47E-06,0.132950082,-2.744398221,3.87E-06
ENSMUSG00000002870,Mcm2,0.082068451,-3.015272983,1.92E-30,1.195469451,2.271230774,1.27E-21,0.095688473,-2.36833995,4.22E-06,0.538806038,0.31847419,0.471884238,0.240483236,-0.983192494,0.191270446
ENSMUSG00000030579,Tyrobp,0.242673293,-3.191987794,2.73E-30,0.127968524,-3.904741438,1.03E-25,0.04822699,-5.098361481,5.19E-16,0.063645373,-4.977230945,8.33E-42,18.45757715,6.980583394,1.47E-147
ENSMUSG00000019961,Tmpo,0.116973514,-2.964599391,3.00E-30,0.771100823,0.378905478,0.289659954,0.116357183,-2.554536587,5.83E-07,1.537369978,2.232471439,6.52E-23,0.264922589,-1.31874816,0.040965061
ENSMUSG00000064326,Siva1,0.103884115,-2.949422687,3.94E-30,1.434300166,2.235647566,2.00E-21,0.297017019,-0.973101142,0.104634772,0.582108141,0.087503762,1,0.323577037,-0.827774297,0.312835199
ENSMUSG00000027342,Pcna,0.135257118,-2.88365145,7.74E-29,1.61161388,1.903457104,2.39E-15,0.150039525,-2.319004737,5.30E-06,0.993042196,0.743251386,0.008491475,0.287406794,-1.335841118,0.038355634
ENSMUSG00000063903,Klk1,0.001869914,-6.105224577,9.24E-29,0.000986904,-6.506668926,3.31E-18,0.001531016,-5.486186824,1.25E-06,0.000290618,-7.743452655,1.66E-23,1.224900385,9.913671114,2.28E-101
ENSMUSG00000036478,Btg1,4.181751166,2.34540528,1.52E-28,0.553653023,-2.132018547,2.80E-12,1.103862219,-0.931650051,0.088599603,0.846570651,-1.504642181,1.20E-07,1.182864698,-0.812073145,0.249087947
ENSMUSG00000042462,Dctpp1,0.083938365,-2.819864765,8.30E-28,1.009273603,2.05539305,7.08E-18,0.087267887,-2.349956068,3.91E-06,0.435055361,0.097944796,1,0.541576068,0.425945128,0.517860137
ENSMUSG00000032218,Ccnb2,0.180342824,-2.848925815,8.76E-28,0.828012275,-0.16258209,0.873250027,0.166880696,-2.552953563,8.65E-07,2.431892623,2.644805555,1.31E-31,0.347038816,-1.450293651,0.024074547
ENSMUSG00000041859,Mcm3,0.121128878,-2.804239888,1.83E-27,1.483316388,2.148770837,1.40E-19,0.133198354,-2.255801611,9.70E-06,0.723348559,0.405947234,0.271108614,0.28642922,-1.100075262,0.116729806
ENSMUSG00000026576,Atp1b1,7.584579238,2.288964644,2.62E-27,0.839526152,-2.422060886,3.70E-15,2.158731941,-0.833247635,0.144585779,1.48389624,-1.576765121,2.67E-08,3.121394198,-0.257383844,1
ENSMUSG00000003500,Impdh1,0.132763899,-2.8009003,6.72E-27,0.797418258,0.404273414,0.249038618,3.033707333,2.948299508,3.96E-25,0.498700734,-0.480195051,0.210559341,0.057676874,-3.565672607,1.32E-08
ENSMUSG00000054717,Hmgb2,2.063761829,-2.689579912,1.36E-26,11.17339568,0.342163787,0.356137065,2.213848501,-2.189494057,5.19E-06,22.66763394,2.228774958,2.80E-23,2.385280878,-2.054525181,0.000204277
ENSMUSG00000018008,Cyth4,0.051734289,-2.962251356,2.00E-26,0.079939207,-2.072386264,9.30E-10,0.189080422,-0.610652105,0.530193687,0.049986321,-2.831396677,4.88E-18,2.8378977,5.292285205,2.26E-82
ENSMUSG00000006360,Crip1,1.138569901,-2.661008302,2.79E-26,9.358479617,1.290561416,2.83E-07,10.94752677,1.302654198,0.000210926,4.816123871,-0.094633725,1,4.033470862,-0.351523515,0.89259249
ENSMUSG00000017754,Pltp,0.013712703,-3.492308015,4.78E-25,0.003289679,-5.229015651,1.47E-24,0,-7.261800352,3.66E-13,0.003487418,-5.220503215,1.77E-28,1.326568095,7.552883815,1.69E-122
ENSMUSG00000030978,Rrm1,0.129855144,-2.596981746,2.14E-24,0.908938385,1.004920471,0.000172598,0.095688473,-2.646203378,2.53E-07,1.133701377,1.658834083,1.97E-12,0.138815527,-2.075010159,0.000490196
ENSMUSG00000026434,Nucks1,0.112818149,-2.572350587,5.72E-24,0.609248603,0.483550353,0.13549253,0.176066789,-1.518373318,0.003728739,1.045062843,1.891132566,3.11E-16,0.237550514,-1.051075861,0.140351306
ENSMUSG00000043243,Fam129c,1.474946665,2.11491187,3.99E-23,0.212184314,-2.071926031,3.75E-11,0.501407596,-0.611578837,0.460285345,0.467895211,-0.832751746,0.006569121,0.087004098,-3.175951776,1.27E-07
ENSMUSG00000026879,Gsn,0.148762053,-2.497762511,1.13E-22,0.866501522,0.739338815,0.010104031,0.610875209,0.038505695,1,0.767813135,0.511308178,0.116972828,1.307016612,1.277803565,0.001678544
ENSMUSG00000030652,Coq7,1.415109415,2.088248678,2.82E-22,0.332586575,-1.309710076,1.99E-05,0.129370815,-2.57946367,4.95E-07,0.487076008,-0.701263192,0.029323864,0.07331806,-3.369724763,3.64E-08
ENSMUSG00000024590,Lmnb1,0.608137609,-2.406711451,3.41E-22,2.844914642,0.407559951,0.23020198,0.535089938,-2.216101488,9.37E-06,5.307268533,2.046227027,1.30E-19,0.788902323,-1.618709752,0.007511704
ENSMUSG00000060860,Ube2s,0.177434068,-2.43443545,4.82E-22,0.662212439,-0.058440017,1,0.186783898,-1.97403834,9.79E-05,1.722784354,2.373519338,4.28E-26,0.266877738,-1.422725493,0.024035645
ENSMUSG00000021377,Dek,0.463323153,-2.373385495,1.10E-21,2.528776463,0.769216558,0.005867059,0.456242637,-2.0186013,5.53E-05,3.421156783,1.584255012,1.29E-11,1.077286692,-0.71528352,0.350639248
ENSMUSG00000020183,Cpm,1.251803586,2.045336012,1.38E-21,0.226329934,-1.739653468,2.33E-08,0.123246753,-2.483442973,1.07E-06,0.525728221,-0.36320907,0.408031023,0.012708464,-5.655439607,1.06E-15
ENSMUSG00000020423,Btg2,3.718220245,2.024712433,1.47E-21,0.370088919,-2.662889744,1.32E-17,1.544794701,-0.330935515,0.837830326,1.065406113,-1.038190686,0.000395529,1.212191922,-0.69393695,0.36838167
ENSMUSG00000028333,Anp32b,0.596502589,-2.34368381,2.19E-21,3.721285202,1.110189498,1.63E-05,0.897940626,-1.359318791,0.005879585,3.688816093,1.155428587,2.80E-06,1.469293918,-0.599774817,0.494976221
ENSMUSG00000038352,Arl5c,4.989138509,2.008561933,2.84E-21,0.62240732,-2.326249257,3.23E-14,2.23834475,-0.2160528,1,1.636180147,-0.814846636,0.007513745,0.465325286,-2.553440144,1.03E-05
ENSMUSG00000029860,Zyx,0.056720727,-2.506658774,3.69E-21,0.115138775,-1.182511917,0.000330948,0.502938612,1.330038174,0.000176873,0.071201445,-1.983449996,1.10E-10,1.561185886,3.687861927,4.32E-36
ENSMUSG00000021477,Ctsl,0.058175104,-2.671237975,3.84E-21,0.029936081,-3.435684917,1.06E-19,0.088798903,-1.641776645,0.005453903,0.029061814,-3.531789644,1.62E-23,2.901440019,5.957438515,1.73E-100
ENSMUSG00000069272,Hist1h2ae,0.159150464,-2.407499243,5.20E-21,0.55891651,-0.138837669,0.932179232,0.119419214,-2.445533856,2.36E-06,1.582125172,2.539932448,3.87E-29,0.144680971,-2.137119689,0.000415973
ENSMUSG00000058773,Hist1h1b,0.331598095,-2.39434398,1.06E-20,1.431339455,0.26434615,0.549967932,0.251086552,-2.423938987,3.54E-06,3.044806287,2.256848813,1.48E-22,0.205290567,-2.689683175,1.09E-05
