FeatureID,FeatureName,WTY_ClusterD Average,WTY_ClusterD Log2 Fold Change,WTY_ClusterD P-Value,WTY_ClusterCp Average,WTY_ClusterCp Log2 Fold Change,WTY_ClusterCp P-Value,WTY_ClusterC Average,WTY_ClusterC Log2 Fold Change,WTY_ClusterC P-Value,WTY_ClusterB Average,WTY_ClusterB Log2 Fold Change,WTY_ClusterB P-Value,WTY_ClusterA Average,WTY_ClusterA Log2 Fold Change,WTY_ClusterA P-Value
ENSMUSG00000025503,Taldo1,1.321198175,0.085985084,0.930223188,1.026050968,-0.387591244,0.323124567,1.289115102,0.021446993,1,1.144454248,-0.200152759,0.799876893,2.17510244,0.85923089,0.067637301
ENSMUSG00000024096,Ralbp1,0.553494565,-0.093152828,0.931491924,0.48424079,-0.318794165,0.47377981,1.104627727,1.082650334,0.004193495,0.526309458,-0.175895875,0.860157892,0.465325286,-0.332358921,1
ENSMUSG00000022452,Smdt1,1.190096422,-0.091735136,0.932149768,1.155335363,-0.130987715,0.941251634,1.047214644,-0.268183534,0.949830366,1.367939601,0.191782842,0.775775573,1.550432571,0.350683949,0.743169681
ENSMUSG00000051627,Hist1h1e,1.332209891,-0.092185759,0.933964802,0.966507773,-0.644018966,0.054659476,0.943871093,-0.605549816,0.387293964,2.318551547,1.108762465,1.06E-05,0.353881835,-2.054889325,0.000540562
ENSMUSG00000036594,H2-Aa,0.642834904,-0.095178829,0.936634982,0.25725292,-1.617543586,6.72E-07,0.029854803,-4.594622164,1.34E-14,0.807337202,0.368838445,0.366255139,2.396034193,2.172439909,4.03E-10
ENSMUSG00000062397,Zfp706,3.047128862,-0.089417335,0.937987001,3.154144494,-0.01128978,1,2.526941183,-0.359865032,0.777963223,3.991058962,0.462216749,0.160325002,1.894538665,-0.791023288,0.26724442
ENSMUSG00000030220,Arhgdib,3.425682577,0.081332367,0.943229886,2.849520193,-0.269663666,0.570418238,4.808919876,0.612088219,0.220785574,2.903856488,-0.244344145,0.680366014,3.50753598,0.092501612,1
ENSMUSG00000070544,Top1,1.066889861,-0.088361669,0.943868077,1.10500327,-0.009188418,1,0.982146482,-0.194700661,1,1.346724476,0.385825452,0.291516968,0.700920651,-0.705793421,0.453113468
ENSMUSG00000020440,Arf5,1.152905909,-0.086812404,0.948645247,1.039867621,-0.259610423,0.599939198,1.446044197,0.301639827,0.765867609,1.115683052,-0.137632654,0.954387933,1.855435699,0.694690463,0.194305137
ENSMUSG00000025428,Atp5a1,2.606660214,0.07718894,0.959236136,2.709379855,0.136750429,0.878820949,2.350874393,-0.110231384,1,2.491469343,-0.021141404,1,1.844682384,-0.480915407,0.672302802
ENSMUSG00000078619,Smarcd2,0.701841081,0.077751032,0.960738843,0.599379565,-0.224933919,0.696427042,1.042621597,0.705373936,0.128368766,0.676559038,-0.004088696,1,0.339218223,-1.053837,0.132823943
ENSMUSG00000022841,Ap2m1,1.008091452,0.076598041,0.963174334,0.846763447,-0.25570852,0.61051497,1.173523427,0.299743711,0.771337015,0.985195506,0.021356193,1,0.904256071,-0.116005557,1
ENSMUSG00000022475,Hdac7,0.482230062,-0.083142738,0.965135768,0.393445642,-0.433550047,0.249789003,1.233233034,1.543066145,3.86E-06,0.452201831,-0.19332614,0.820225879,0.13490523,-1.966421291,0.00098544
ENSMUSG00000035227,Spcs2,0.702048849,0.074980955,0.969574324,0.558258574,-0.354202533,0.392466067,0.664460753,-0.03415915,1,0.607101301,-0.212174625,0.769802449,1.190685291,0.900929146,0.051184314
ENSMUSG00000058600,Rpl30,11.07799426,0.072094386,0.976423528,12.00009208,0.211309298,0.668141724,11.26061945,0.076592372,1,8.361665219,-0.463512682,0.209682138,12.58333421,0.249309388,0.928915694
ENSMUSG00000027447,Cst3,1.608749405,-0.079157105,0.977290841,0.888871342,-1.088983352,0.000374219,1.742295708,0.069862485,1,1.197637369,-0.608611963,0.067087177,5.741292867,2.101615524,2.70E-10
ENSMUSG00000070031,Sp140,0.240180074,-0.081698438,0.977924794,0.082899918,-1.836457963,1.23E-08,0.318451237,0.398374398,0.530426528,0.119734675,-1.28863087,2.36E-05,1.133985991,2.675152197,4.33E-17
ENSMUSG00000008683,Rps15a,14.81283596,-0.078208658,0.977924794,17.29121223,0.225414162,0.627910346,17.09225772,0.172111481,1,13.97640775,-0.177943896,0.846507117,14.44561292,-0.09525012,1
ENSMUSG00000002524,Puf60,0.96259021,0.072459985,0.977924794,0.794128578,-0.291053936,0.517775345,0.987505037,0.092440046,1,1.077612075,0.287435058,0.527008257,0.638355907,-0.581770237,0.626813759
ENSMUSG00000017778,Cox7c,1.619761122,-0.078345803,0.978556345,2.011309912,0.345742206,0.339802508,1.704020319,0.023991687,1,1.42286643,-0.310493062,0.523186485,1.788960658,0.099398537,1
ENSMUSG00000060126,Tpt1,18.44067703,0.070673507,0.981261647,16.94546694,-0.098191975,1,17.84015882,-0.003557182,1,19.14912008,0.134852488,0.932892141,13.66159847,-0.415894931,0.775027346
ENSMUSG00000063439,B9d2,0.441507489,-0.077536684,0.984750419,0.3477191,-0.490547663,0.171640524,1.109986281,1.515786599,6.32E-06,0.38971893,-0.300563419,0.557565433,0.251236551,-0.911904786,0.241518696
ENSMUSG00000024381,Bin1,0.621434776,0.070774939,0.985032289,0.472397945,-0.436489891,0.243859107,1.473602477,1.530894629,4.43E-06,0.424593107,-0.64077485,0.051076448,0.382231485,-0.695786215,0.468516471
ENSMUSG00000026021,Sumo1,0.95905815,-0.075118422,0.989378932,1.067829894,0.137854946,0.878559658,1.219453894,0.332785753,0.705829406,0.966305327,-0.050832279,1,0.720472134,-0.492886611,0.765695464
ENSMUSG00000007739,Cct4,0.867224592,-0.075336445,0.989378932,1.065856087,0.328313281,0.382035983,1.0035807,0.179711161,1,0.805302875,-0.205111232,0.788358683,0.711673967,-0.357845351,0.983241294
ENSMUSG00000051223,Bzw1,1.18095462,0.062925112,1,1.180007958,0.050653925,1,0.851244652,-0.470755562,0.587710977,1.080808875,-0.11584934,1,1.507419309,0.429157362,0.587420254
ENSMUSG00000046330,Rpl37a,9.391747304,0.043501111,1,10.26577316,0.204387193,0.687287965,10.07408239,0.142764817,1,7.88737641,-0.292432773,0.563341866,8.574302697,-0.112529076,1
ENSMUSG00000040723,Rcsd1,1.303537875,0.059487577,1,0.724716345,-0.976195112,0.001593358,3.35904814,1.679861949,1.88E-07,1.024428955,-0.400537805,0.323554876,0.883727014,-0.557492791,0.556196804
ENSMUSG00000026511,Srp9,1.108027971,-0.016507577,1,1.040196588,-0.129795939,0.944371599,1.270742915,0.208095571,0.960053251,1.151719702,0.060631582,1,1.064578228,-0.07388839,1
ENSMUSG00000026755,Arpc5l,1.505280827,0.008961687,1,1.667209459,0.200269421,0.703902733,1.466712907,-0.035253225,1,1.573697246,0.094262042,1,0.762507822,-1.031346328,0.14170727
ENSMUSG00000016308,Ube2a,0.842915709,-0.068058133,1,0.856961453,-0.026350698,1,0.681301925,-0.383705348,0.834340583,1.059884369,0.39707212,0.270255809,0.628580166,-0.498944752,0.759150066
ENSMUSG00000031246,Sh3bgrl,0.69020606,0.048234855,1,0.527006621,-0.446211836,0.228116775,1.149027178,0.877515872,0.033721493,0.690508709,0.04256522,1,0.3929848,-0.827630147,0.308551033
ENSMUSG00000078578,Ube2d3,1.718658799,-0.007335732,1,1.796164887,0.076150415,1,1.711675397,-0.012113613,1,1.748939986,0.027354766,1,1.470271492,-0.247465897,1
ENSMUSG00000055436,Srsf11,1.050476171,0.029234574,1,1.168165112,0.225438587,0.63364462,0.827513911,-0.355673055,0.790901169,1.061628078,0.045760151,1,0.766418118,-0.465789001,0.815071742
ENSMUSG00000068240,Gm11808,0.921867637,-0.066176583,1,0.992167271,0.081440358,1,1.021952887,0.117172564,1,0.953518128,0.007438425,1,0.851467067,-0.16960425,1
ENSMUSG00000028843,Sh3bgrl3,3.108004954,-0.006790618,1,2.767936147,-0.217438692,0.705701059,3.592528013,0.227471285,0.915587631,2.768428433,-0.224991673,0.730539469,4.766651459,0.674951309,0.214770542
ENSMUSG00000059291,Rpl11,11.1326373,-0.021778998,1,13.46334142,0.344200626,0.339802508,12.08889887,0.115520217,1,9.072517198,-0.400635031,0.316973636,11.36527684,0.015904528,1
ENSMUSG00000047215,Rpl9,12.34101733,-0.037680638,1,14.65091564,0.293844969,0.460383882,15.18001928,0.305794851,0.756887884,9.84701455,-0.451750277,0.227287856,13.04377162,0.058905713,1
ENSMUSG00000029614,Rpl6,9.700075357,-0.059897247,1,12.22477717,0.391633265,0.246640788,10.04882063,0.012411516,1,8.417754521,-0.31753886,0.502172395,9.59977796,-0.059384805,1
ENSMUSG00000029642,Polr1d,1.287539722,0.01971997,1,1.395810919,0.16848494,0.792414031,1.511112358,0.271828347,0.832768469,1.097955345,-0.283598262,0.591695199,1.167223512,-0.138938287,1
